sitename,city,state,country,notes,greenhouse,geometry,time_zone,soil,soilnotes
MAC Field Scanner Season 8 Range 3 Column 2 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000944DB92288F618413C83868E6BEC4B41B2683A3B8EF61841E71DA78C6BEC4B4139622D1E8EF61841F2B567126AEC4B411B47AC0588F61841481B47146AEC4B41944DB92288F618413C83868E6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 3 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000B2683A3B8EF61841E71DA78C6BEC4B41CF83BB5394F6184191B8C78A6BEC4B41567DAE3694F618419C5088106AEC4B4139622D1E8EF61841F2B567126AEC4B41B2683A3B8EF61841E71DA78C6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 3 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000CF83BB5394F6184191B8C78A6BEC4B41ED9E3C6C9AF618413B53E8886BEC4B4174982F4F9AF6184146EBA80E6AEC4B41567DAE3694F618419C5088106AEC4B41CF83BB5394F6184191B8C78A6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 4 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000ED9E3C6C9AF618413B53E8886BEC4B410ABABD84A0F61841E5ED08876BEC4B4192B3B067A0F61841F085C90C6AEC4B4174982F4F9AF6184146EBA80E6AEC4B41ED9E3C6C9AF618413B53E8886BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 4 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000000ABABD84A0F61841E5ED08876BEC4B4128D53E9DA6F6184172DC29856BEC4B41AFCE3180A6F618419B20EA0A6AEC4B4192B3B067A0F61841F085C90C6AEC4B410ABABD84A0F61841E5ED08876BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 5 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000028D53E9DA6F6184172DC29856BEC4B4145F0BFB5ACF618411D774A836BEC4B41CDE9B298ACF6184145BB0A096AEC4B41AFCE3180A6F618419B20EA0A6AEC4B4128D53E9DA6F6184172DC29856BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 5 E,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000045F0BFB5ACF618411D774A836BEC4B41630B41CEB2F61841C7116B816BEC4B41EA0434B1B2F61841EF552B076AEC4B41CDE9B298ACF6184145BB0A096AEC4B4145F0BFB5ACF618411D774A836BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 6 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000630B41CEB2F61841C7116B816BEC4B418126C2E6B8F6184171AC8B7F6BEC4B410820B5C9B8F6184199F04B056AEC4B41EA0434B1B2F61841EF552B076AEC4B41630B41CEB2F61841C7116B816BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 6 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000008126C2E6B8F6184171AC8B7F6BEC4B419E4143FFBEF618411B47AC7D6BEC4B41253B36E2BEF6184126DF6C036AEC4B410820B5C9B8F6184199F04B056AEC4B418126C2E6B8F6184171AC8B7F6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 7 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000009E4143FFBEF618411B47AC7D6BEC4B41BC5CC417C5F61841C6E1CC7B6BEC4B414356B7FAC4F61841D1798D016AEC4B41253B36E2BEF6184126DF6C036AEC4B419E4143FFBEF618411B47AC7D6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 7 E,Maricopa,Arizona,USA,changed was DP_224 withdrawn for lateness; changed to DP_270 which was Entry 224 which is now Tiburon,f,0103000020E61000000100000005000000BC5CC417C5F61841C6E1CC7B6BEC4B41D9774530CBF61841707CED796BEC4B4161713813CBF618417B14AEFF69EC4B414356B7FAC4F61841D1798D016AEC4B41BC5CC417C5F61841C6E1CC7B6BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 8 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000D9774530CBF61841707CED796BEC4B41F792C648D1F618411A170E786BEC4B417E8CB92BD1F6184125AFCEFD69EC4B4161713813CBF618417B14AEFF69EC4B41D9774530CBF61841707CED796BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 8 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000F792C648D1F618411A170E786BEC4B4114AE4761D7F61841C4B12E766BEC4B419CA73A44D7F61841CF49EFFB69EC4B417E8CB92BD1F6184125AFCEFD69EC4B41F792C648D1F618411A170E786BEC4B41,,some text,some text
